"Away"  "Draw"  "Home"
"201"  0.39  0.34  0.27
"202"  0.39  0.3  0.31
"203"  0.09  0.57  0.33
"204"  0.43  0.2  0.37
"205"  0.63  0.2  0.18
"206"  0.66  0.16  0.18
"207"  0.45  0.1  0.45
"208"  0.66  0.26  0.08
"209"  0.74  0.11  0.15
"210"  0.47  0.19  0.34
"211"  0.09  0.42  0.48
"212"  0.47  0.38  0.15
"213"  0.76  0.13  0.11
"214"  0.2  0.27  0.54
"215"  0.15  0.36  0.48
"216"  0.43  0.42  0.15
"217"  0.12  0.37  0.52
"218"  0.17  0.4  0.43
"219"  0  0.19  0.81
"220"  0.52  0.29  0.2
"221"  0.68  0.17  0.15
"222"  0.55  0.16  0.29
"223"  0.66  0.13  0.2
"224"  0.36  0.33  0.31
"225"  0.85  0.02  0.12
"226"  0.18  0.5  0.33
"227"  0.35  0.38  0.26
"228"  0.38  0.51  0.11
"229"  0.28  0.51  0.21
"230"  0.78  0.12  0.09
"231"  0.09  0.37  0.54
"232"  0  0.27  0.73
"233"  0.07  0.55  0.38
"234"  0.26  0.16  0.58
"235"  0.15  0.39  0.46
"236"  0.66  0.22  0.12
"237"  0.26  0.2  0.54
"238"  0.35  0.53  0.12
"239"  0.21  0.26  0.53
"240"  0.81  0.12  0.07
"241"  0.34  0.35  0.32
"242"  0.79  0.03  0.18
"243"  0.24  0.3  0.46
"244"  0.54  0.16  0.3
"245"  0.49  0.29  0.21
"246"  0.44  0.19  0.37
"247"  0.48  0.33  0.19
"248"  0.3  0.37  0.32
"249"  0.53  0.23  0.23
"250"  0.07  0.35  0.58
"251"  0.32  0.41  0.27
"252"  0.09  0.48  0.42
"253"  0.75  0.04  0.21
"254"  0.25  0.37  0.38
"255"  0.27  0.19  0.54
"256"  0  0.27  0.73
"257"  0.23  0.12  0.65
"258"  0.57  0.06  0.38
"259"  0.47  0.42  0.11
"260"  0.45  0.14  0.41
"261"  0.23  0.29  0.47
"262"  0.57  0.21  0.22
"263"  0.28  0.19  0.53
"264"  0.28  0.45  0.27
"265"  0.23  0.26  0.51
"266"  0.12  0.46  0.42
"267"  0.27  0.43  0.29
"268"  0.83  0.11  0.06
"269"  0.23  0.11  0.66
"270"  0.07  0.29  0.64
"271"  0.17  0.17  0.66
"272"  0.12  0.17  0.7
"273"  0.51  0.25  0.23
"274"  0.31  0.35  0.34
"275"  0.32  0.16  0.52
"276"  0.3  0.29  0.41
"277"  0.36  0.43  0.2
"278"  0.44  0.07  0.48
"279"  0  0.22  0.78
"280"  0.59  0.22  0.19
"281"  0.66  0.26  0.08
"282"  0.26  0.12  0.62
"283"  0.18  0.29  0.53
"284"  0.15  0.19  0.66
"285"  0.17  0.17  0.66
"286"  0.07  0.28  0.64
"287"  0.2  0.1  0.69
"288"  0.38  0.21  0.41
"289"  0.44  0.33  0.22
"290"  0.46  0.23  0.31
"291"  0.28  0.16  0.56
"292"  0.18  0.32  0.5
"293"  0.26  0.45  0.29
"294"  0.84  0.1  0.06
"295"  0.35  0.34  0.31
"296"  0.38  0.43  0.19
"297"  0.5  0.12  0.38
"298"  0.66  0.21  0.14
"299"  0.41  0.07  0.52
"300"  0  0.21  0.79
"301"  0.23  0.48  0.28
"302"  0.24  0.18  0.58
"303"  0.06  0.33  0.61
"304"  0.39  0.35  0.26
"305"  0.44  0.19  0.36
"306"  0.39  0.24  0.37
"307"  0.59  0.12  0.28
"308"  0.22  0.18  0.6
"309"  0.17  0.34  0.49
"310"  0.73  0.04  0.22
"311"  0.58  0.23  0.19
"312"  0.36  0.34  0.3
"313"  0.25  0.29  0.46
"314"  0.33  0.16  0.51
"315"  0.43  0.25  0.31
"316"  0.47  0.33  0.2
"317"  0.22  0.09  0.69
"318"  0  0.17  0.83
"319"  0.57  0.12  0.31
"320"  0.59  0.26  0.16
"321"  0.15  0.19  0.66
"322"  0.19  0.2  0.62
"323"  0.12  0.52  0.36
"324"  0.48  0.18  0.34
"325"  0.27  0.32  0.41
"326"  0.42  0.22  0.36
"327"  0.49  0.06  0.45
"328"  0.2  0.51  0.29
"329"  0.36  0.33  0.31
"330"  0.4  0.28  0.32
"331"  0.54  0.24  0.21
"332"  0.24  0.13  0.63
"333"  0.14  0.08  0.78
"334"  0.42  0.38  0.2
"335"  0  0.14  0.86
"336"  0.09  0.3  0.61
"337"  0.08  0.15  0.76
"338"  0.47  0.15  0.38
"339"  0.59  0.17  0.24
"340"  0.47  0.2  0.33
"341"  0.46  0.32  0.22
"342"  0.49  0.05  0.45
"343"  0.85  0.06  0.09
"344"  0.06  0.3  0.63
"345"  0.27  0.24  0.49
"346"  0.35  0.16  0.49
"347"  0.27  0.19  0.54
"348"  0.26  0.24  0.51
"349"  0.42  0.22  0.36
"350"  0.61  0.06  0.33
"351"  0.75  0.12  0.13
"352"  0.27  0.24  0.49
"353"  0.91  0.06  0.03
"354"  0.32  0.15  0.53
"355"  0.18  0.38  0.44
"356"  0.1  0.07  0.83
"357"  0.1  0.35  0.55
"358"  0.2  0.42  0.38
